what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1352472117466
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1352472119867
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1352472132790
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1352472136430
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1352472136833
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1352472151683
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1352472156196
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1352472156412
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1352472156538
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1352472171070
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1352472175731
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1352472187459
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1352472234272
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1352472237127
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1352472237395
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1352472246982
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1352472247249
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1352472247426
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1352472252380
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1352472253167
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1352472254792
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1352472267129
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1352472270179
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1352472270972
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1352472272019
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1352472282234
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1352472293451
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1352472335204
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1352472343202
